hex_id,north_east_neighbor,north_neighbor,north_west_neighbor,south_east_neighbor,south_neighbor,south_west_neighbor,east,north_east,north_west,south_east,south_west,west
231,32.0,232.0,244.0,,,207.0,"[-74.17333328359997, 40.51846078346468]","[-74.17999995337497, 40.53000779423227]","[-74.19333329292498, 40.53000779423227]","[-74.17999995337497, 40.5069137726971]","[-74.19333329292498, 40.5069137726971]","[-74.19999996269998, 40.51846078346468]"
232,33.0,233.0,245.0,32.0,231.0,244.0,"[-74.17333328359997, 40.541554804999855]","[-74.17999995337497, 40.55310181576744]","[-74.19333329292498, 40.55310181576744]","[-74.17999995337497, 40.53000779423227]","[-74.19333329292498, 40.53000779423227]","[-74.19999996269998, 40.541554804999855]"
233,34.0,234.0,246.0,33.0,232.0,245.0,"[-74.17333328359997, 40.564648826535034]","[-74.17999995337497, 40.57619583730262]","[-74.19333329292498, 40.57619583730262]","[-74.17999995337497, 40.55310181576744]","[-74.19333329292498, 40.55310181576744]","[-74.19999996269998, 40.564648826535034]"
234,35.0,235.0,247.0,34.0,233.0,246.0,"[-74.17333328359997, 40.58774284807021]","[-74.17999995337497, 40.59928985883779]","[-74.19333329292498, 40.59928985883779]","[-74.17999995337497, 40.57619583730262]","[-74.19333329292498, 40.57619583730262]","[-74.19999996269998, 40.58774284807021]"
235,36.0,237.0,248.0,35.0,234.0,247.0,"[-74.17333328359997, 40.61083686960538]","[-74.17999995337497, 40.62238388037297]","[-74.19333329292498, 40.62238388037297]","[-74.17999995337497, 40.59928985883779]","[-74.19333329292498, 40.59928985883779]","[-74.19999996269998, 40.61083686960538]"
236,39.0,238.0,250.0,37.0,,249.0,"[-73.91333316237488, 40.55310181576744]","[-73.91999983214988, 40.564648826535034]","[-73.93333317169989, 40.564648826535034]","[-73.91999983214988, 40.541554804999855]","[-73.93333317169989, 40.541554804999855]","[-73.93999984147489, 40.55310181576744]"
237,38.0,,,36.0,235.0,248.0,"[-74.17333328359997, 40.63393089114056]","[-74.17999995337497, 40.645477901908144]","[-74.19333329292498, 40.645477901908144]","[-74.17999995337497, 40.62238388037297]","[-74.19333329292498, 40.62238388037297]","[-74.19999996269998, 40.63393089114056]"
238,40.0,239.0,0.0,39.0,236.0,250.0,"[-73.91333316237488, 40.57619583730262]","[-73.91999983214988, 40.58774284807021]","[-73.93333317169989, 40.58774284807021]","[-73.91999983214988, 40.564648826535034]","[-73.93333317169989, 40.564648826535034]","[-73.93999984147489, 40.57619583730262]"
239,9.0,240.0,1.0,40.0,238.0,0.0,"[-73.91333316237488, 40.59928985883779]","[-73.91999983214988, 40.61083686960538]","[-73.93333317169989, 40.61083686960538]","[-73.91999983214988, 40.58774284807021]","[-73.93333317169989, 40.58774284807021]","[-73.93999984147489, 40.59928985883779]"
240,10.0,241.0,2.0,9.0,239.0,1.0,"[-73.91333316237488, 40.62238388037297]","[-73.91999983214988, 40.63393089114056]","[-73.93333317169989, 40.63393089114056]","[-73.91999983214988, 40.61083686960538]","[-73.93333317169989, 40.61083686960538]","[-73.93999984147489, 40.62238388037297]"
241,11.0,242.0,3.0,10.0,240.0,2.0,"[-73.91333316237488, 40.645477901908144]","[-73.91999983214988, 40.65702491267573]","[-73.93333317169989, 40.65702491267573]","[-73.91999983214988, 40.63393089114056]","[-73.93333317169989, 40.63393089114056]","[-73.93999984147489, 40.645477901908144]"
242,12.0,243.0,4.0,11.0,241.0,3.0,"[-73.91333316237488, 40.66857192344332]","[-73.91999983214988, 40.68011893421091]","[-73.93333317169989, 40.68011893421091]","[-73.91999983214988, 40.65702491267573]","[-73.93333317169989, 40.65702491267573]","[-73.93999984147489, 40.66857192344332]"
243,13.0,24.0,5.0,12.0,242.0,4.0,"[-73.91333316237488, 40.691665944978496]","[-73.91999983214988, 40.70321295574608]","[-73.93333317169989, 40.70321295574608]","[-73.91999983214988, 40.68011893421091]","[-73.93333317169989, 40.68011893421091]","[-73.93999984147489, 40.691665944978496]"
244,232.0,245.0,225.0,231.0,207.0,224.0,"[-74.19333329292498, 40.53000779423227]","[-74.19999996269998, 40.541554804999855]","[-74.21333330224998, 40.541554804999855]","[-74.19999996269998, 40.51846078346468]","[-74.21333330224998, 40.51846078346468]","[-74.21999997202498, 40.53000779423227]"
245,233.0,246.0,226.0,232.0,244.0,225.0,"[-74.19333329292498, 40.55310181576744]","[-74.19999996269998, 40.564648826535034]","[-74.21333330224998, 40.564648826535034]","[-74.19999996269998, 40.541554804999855]","[-74.21333330224998, 40.541554804999855]","[-74.21999997202498, 40.55310181576744]"
246,234.0,247.0,,233.0,245.0,226.0,"[-74.19333329292498, 40.57619583730262]","[-74.19999996269998, 40.58774284807021]","[-74.21333330224998, 40.58774284807021]","[-74.19999996269998, 40.564648826535034]","[-74.21333330224998, 40.564648826535034]","[-74.21999997202498, 40.57619583730262]"
247,235.0,248.0,,234.0,246.0,,"[-74.19333329292498, 40.59928985883779]","[-74.19999996269998, 40.61083686960538]","[-74.21333330224998, 40.61083686960538]","[-74.19999996269998, 40.58774284807021]","[-74.21333330224998, 40.58774284807021]","[-74.21999997202498, 40.59928985883779]"
248,237.0,,,235.0,247.0,,"[-74.19333329292498, 40.62238388037297]","[-74.19999996269998, 40.63393089114056]","[-74.21333330224998, 40.63393089114056]","[-74.19999996269998, 40.61083686960538]","[-74.21333330224998, 40.61083686960538]","[-74.21999997202498, 40.62238388037297]"
249,236.0,250.0,,,,,"[-73.93333317169989, 40.541554804999855]","[-73.93999984147489, 40.55310181576744]","[-73.9533331810249, 40.55310181576744]","[-73.93999984147489, 40.53000779423227]","[-73.9533331810249, 40.53000779423227]","[-73.9599998507999, 40.541554804999855]"
250,238.0,0.0,192.0,236.0,249.0,,"[-73.93333317169989, 40.564648826535034]","[-73.93999984147489, 40.57619583730262]","[-73.9533331810249, 40.57619583730262]","[-73.93999984147489, 40.55310181576744]","[-73.9533331810249, 40.55310181576744]","[-73.9599998507999, 40.564648826535034]"
